2025-06-18 14:42:36 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 990
2025-06-18 16:01:51 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 16:01:52 | 下注: 10 | 符号: ['0', 'BB', 'C'] | 倍率: 2 | 奖金: 20 | 余额: 930
2025-06-18 16:01:52 | 下注: 10 | 符号: ['B', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 16:01:52 | 下注: 10 | 符号: ['7', '7', '0'] | 倍率: 0 | 奖金: 0 | 余额: 910
2025-06-18 16:01:53 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 900
2025-06-18 16:01:53 | 下注: 10 | 符号: ['B', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 890
2025-06-18 16:01:53 | 下注: 10 | 符号: ['BBB', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 16:01:53 | 下注: 10 | 符号: ['C', '0', 'B'] | 倍率: 2 | 奖金: 20 | 余额: 890
2025-06-18 16:01:54 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 16:01:54 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 870
2025-06-18 16:01:54 | 下注: 10 | 符号: ['BBB', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 860
2025-06-18 16:01:54 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 850
2025-06-18 16:01:54 | 下注: 10 | 符号: ['BB', 'B', 'BB'] | 倍率: 5 | 奖金: 50 | 余额: 890
2025-06-18 16:01:54 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 16:01:55 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 870
2025-06-18 16:01:55 | 下注: 10 | 符号: ['0', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 860
2025-06-18 16:01:55 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 850
2025-06-18 16:01:55 | 下注: 10 | 符号: ['BB', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 840
2025-06-18 16:01:56 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 830
2025-06-18 16:01:56 | 下注: 10 | 符号: ['BBB', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 820
2025-06-18 16:01:57 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 810
2025-06-18 16:01:57 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 800
2025-06-18 16:01:57 | 下注: 10 | 符号: ['B', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 790
2025-06-18 16:01:58 | 下注: 10 | 符号: ['B', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 780
