2025-06-18 14:39:25 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 990
2025-06-18 14:39:44 | 下注: 10 | 符号: ['0', 'BBB', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 700
2025-06-18 14:39:44 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 690
2025-06-18 14:39:45 | 下注: 10 | 符号: ['0', 'DD', '0'] | 倍率: 0 | 奖金: 0 | 余额: 680
2025-06-18 14:39:45 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 670
2025-06-18 14:39:45 | 下注: 10 | 符号: ['0', 'B', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 660
2025-06-18 14:39:45 | 下注: 10 | 符号: ['C', 'B', 'BB'] | 倍率: 2 | 奖金: 20 | 余额: 670
2025-06-18 14:39:46 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 660
2025-06-18 14:39:46 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 650
2025-06-18 14:39:46 | 下注: 10 | 符号: ['0', '7', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 640
2025-06-18 14:39:46 | 下注: 10 | 符号: ['B', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 630
2025-06-18 14:39:47 | 下注: 10 | 符号: ['B', 'B', '7'] | 倍率: 0 | 奖金: 0 | 余额: 620
2025-06-18 14:39:47 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 610
2025-06-18 14:39:47 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 600
2025-06-18 14:39:48 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 590
2025-06-18 14:39:48 | 下注: 10 | 符号: ['0', 'B', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 580
2025-06-18 14:39:48 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 570
2025-06-18 14:39:48 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 560
2025-06-18 14:39:48 | 下注: 10 | 符号: ['7', 'DD', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 550
2025-06-18 14:39:49 | 下注: 10 | 符号: ['0', '0', 'DD'] | 倍率: 0 | 奖金: 0 | 余额: 540
2025-06-18 14:39:49 | 下注: 10 | 符号: ['0', 'BB', 'C'] | 倍率: 2 | 奖金: 20 | 余额: 550
2025-06-18 14:39:49 | 下注: 10 | 符号: ['B', 'B', 'B'] | 倍率: 10 | 奖金: 100 | 余额: 640
2025-06-18 14:39:49 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 630
2025-06-18 14:39:50 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 620
2025-06-18 14:39:50 | 下注: 10 | 符号: ['DD', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 610
2025-06-18 14:39:51 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 600
2025-06-18 14:39:51 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 590
2025-06-18 14:39:51 | 下注: 10 | 符号: ['0', '7', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 580
2025-06-18 14:39:51 | 下注: 10 | 符号: ['0', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 570
2025-06-18 14:39:51 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 560
2025-06-18 14:39:52 | 下注: 10 | 符号: ['B', 'B', 'DD'] | 倍率: 0 | 奖金: 0 | 余额: 550
2025-06-18 14:39:52 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 540
2025-06-18 14:39:52 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 530
2025-06-18 14:39:52 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 520
2025-06-18 14:39:53 | 下注: 10 | 符号: ['BBB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 510
2025-06-18 14:39:53 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 500
2025-06-18 14:39:53 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 490
2025-06-18 14:39:54 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 480
2025-06-18 14:39:55 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 470
2025-06-18 14:39:56 | 下注: 10 | 符号: ['0', 'BB', 'DD'] | 倍率: 0 | 奖金: 0 | 余额: 460
2025-06-18 14:39:56 | 下注: 10 | 符号: ['0', 'DD', '0'] | 倍率: 0 | 奖金: 0 | 余额: 450
2025-06-18 14:39:56 | 下注: 10 | 符号: ['BB', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 440
2025-06-18 14:39:57 | 下注: 10 | 符号: ['7', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 430
2025-06-18 14:39:57 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 420
2025-06-18 14:40:15 | 下注: 10 | 符号: ['B', 'B', 'B'] | 倍率: 10 | 奖金: 100 | 余额: 510
2025-06-18 14:40:15 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 500
2025-06-18 14:40:16 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 490
2025-06-18 14:40:16 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 480
2025-06-18 14:40:16 | 下注: 10 | 符号: ['0', 'BB', 'DD'] | 倍率: 0 | 奖金: 0 | 余额: 470
2025-06-18 14:40:17 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 460
2025-06-18 14:40:17 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 450
2025-06-18 14:40:17 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 440
2025-06-18 14:40:17 | 下注: 10 | 符号: ['0', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 430
2025-06-18 14:40:18 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 420
2025-06-18 14:40:18 | 下注: 10 | 符号: ['BB', '7', '0'] | 倍率: 0 | 奖金: 0 | 余额: 410
2025-06-18 14:40:18 | 下注: 10 | 符号: ['B', 'BB', 'BBB'] | 倍率: 5 | 奖金: 50 | 余额: 450
2025-06-18 14:40:18 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 440
2025-06-18 14:40:19 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 430
2025-06-18 14:40:19 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 420
2025-06-18 14:40:19 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 410
2025-06-18 14:40:19 | 下注: 10 | 符号: ['BB', 'DD', '0'] | 倍率: 0 | 奖金: 0 | 余额: 400
2025-06-18 14:40:19 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 390
2025-06-18 14:40:20 | 下注: 10 | 符号: ['B', '0', '7'] | 倍率: 0 | 奖金: 0 | 余额: 380
2025-06-18 14:40:20 | 下注: 10 | 符号: ['B', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 370
2025-06-18 14:40:20 | 下注: 10 | 符号: ['0', 'DD', '0'] | 倍率: 0 | 奖金: 0 | 余额: 360
2025-06-18 14:40:20 | 下注: 10 | 符号: ['C', '0', '0'] | 倍率: 2 | 奖金: 20 | 余额: 370
2025-06-18 14:40:21 | 下注: 10 | 符号: ['BB', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 360
2025-06-18 14:40:21 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 350
2025-06-18 14:40:21 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 340
2025-06-18 14:40:21 | 下注: 10 | 符号: ['0', 'B', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 330
2025-06-18 14:40:21 | 下注: 10 | 符号: ['0', '7', '0'] | 倍率: 0 | 奖金: 0 | 余额: 320
2025-06-18 14:40:22 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 310
2025-06-18 14:40:22 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 300
2025-06-18 14:40:22 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 290
2025-06-18 14:40:22 | 下注: 10 | 符号: ['BB', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 280
2025-06-18 14:40:22 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 270
2025-06-18 14:40:23 | 下注: 10 | 符号: ['0', '7', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 260
2025-06-18 14:40:23 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 250
2025-06-18 14:40:23 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 240
2025-06-18 14:40:23 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 230
2025-06-18 14:40:24 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 220
2025-06-18 14:40:24 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 210
2025-06-18 14:40:24 | 下注: 10 | 符号: ['B', 'BBB', 'BBB'] | 倍率: 5 | 奖金: 50 | 余额: 250
2025-06-18 14:40:24 | 下注: 10 | 符号: ['0', '0', 'BBB'] | 倍率: 0 | 奖金: 0 | 余额: 240
2025-06-18 14:40:25 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 230
2025-06-18 14:40:25 | 下注: 10 | 符号: ['B', 'B', 'B'] | 倍率: 10 | 奖金: 100 | 余额: 320
2025-06-18 14:40:25 | 下注: 10 | 符号: ['0', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 310
2025-06-18 14:40:25 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 300
2025-06-18 14:40:25 | 下注: 10 | 符号: ['0', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 290
2025-06-18 14:40:26 | 下注: 10 | 符号: ['B', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 280
2025-06-18 14:40:26 | 下注: 10 | 符号: ['BBB', 'B', 'B'] | 倍率: 5 | 奖金: 50 | 余额: 320
2025-06-18 14:40:26 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 310
2025-06-18 14:40:26 | 下注: 10 | 符号: ['0', 'DD', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 300
2025-06-18 14:40:27 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 290
2025-06-18 14:40:27 | 下注: 10 | 符号: ['B', 'B', 'BB'] | 倍率: 5 | 奖金: 50 | 余额: 330
2025-06-18 14:40:27 | 下注: 10 | 符号: ['B', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 320
2025-06-18 14:40:27 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 310
2025-06-18 14:40:28 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 300
2025-06-18 14:40:28 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 290
2025-06-18 14:40:28 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 280
2025-06-18 14:40:28 | 下注: 10 | 符号: ['0', 'B', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 270
2025-06-18 14:40:29 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 260
2025-06-18 14:40:29 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 250
2025-06-18 14:40:29 | 下注: 10 | 符号: ['B', 'BB', 'BBB'] | 倍率: 5 | 奖金: 50 | 余额: 290
2025-06-18 14:40:29 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 280
2025-06-18 14:40:29 | 下注: 10 | 符号: ['7', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 270
2025-06-18 14:40:30 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 260
